,SEXVAR,EXERANY2,MARIJAN1,RSNMRJN2,sex,exercised,marijuana_use
3209,1.0,2.0,,,male,no,
3320,1.0,1.0,,,male,yes,
4163,1.0,1.0,,,male,yes,
4172,2.0,2.0,,,female,no,
4434,1.0,1.0,,,male,yes,
4544,1.0,2.0,,,male,no,
4553,2.0,1.0,,,female,yes,
6547,1.0,1.0,88.0,,male,yes,
6762,2.0,1.0,88.0,,female,yes,
6780,2.0,1.0,99.0,,female,yes,
6957,1.0,1.0,88.0,,male,yes,
8392,1.0,1.0,3.0,2.0,male,yes,nonmedical
8421,1.0,1.0,88.0,,male,yes,
9846,1.0,1.0,88.0,,male,yes,
10005,1.0,1.0,,,male,yes,
10015,2.0,1.0,,,female,yes,
10039,1.0,1.0,,,male,yes,
12371,1.0,1.0,,,male,yes,
12828,1.0,1.0,,,male,yes,
13204,1.0,1.0,,,male,yes,
13415,2.0,1.0,,,female,yes,
14874,1.0,1.0,,,male,yes,
15122,1.0,1.0,,,male,yes,
15643,2.0,1.0,,,female,yes,
17285,2.0,1.0,,,female,yes,
17368,1.0,1.0,,,male,yes,
17407,1.0,1.0,,,male,yes,
17991,1.0,2.0,,,male,no,
18295,1.0,2.0,,,male,no,
18553,1.0,1.0,,,male,yes,
18777,2.0,1.0,,,female,yes,
18821,2.0,2.0,,,female,no,
18996,1.0,1.0,,,male,yes,
19279,2.0,1.0,,,female,yes,
20037,1.0,1.0,,,male,yes,
20164,1.0,1.0,,,male,yes,
20179,1.0,1.0,,,male,yes,
20251,1.0,1.0,,,male,yes,
20583,1.0,1.0,,,male,yes,
20642,2.0,1.0,,,female,yes,
23439,1.0,1.0,,,male,yes,
24028,2.0,1.0,,,female,yes,
24073,1.0,1.0,,,male,yes,
24205,1.0,1.0,,,male,yes,
24609,2.0,1.0,,,female,yes,
25028,2.0,1.0,,,female,yes,
25148,2.0,1.0,,,female,yes,
25618,2.0,1.0,,,female,yes,
25731,2.0,1.0,,,female,yes,
26055,2.0,1.0,,,female,yes,
26075,2.0,1.0,,,female,yes,
27355,1.0,1.0,,,male,yes,
27365,1.0,1.0,,,male,yes,
27473,1.0,1.0,,,male,yes,
27475,2.0,1.0,,,female,yes,
27568,1.0,1.0,,,male,yes,
27583,1.0,2.0,,,male,no,
27648,1.0,1.0,,,male,yes,
27733,1.0,1.0,,,male,yes,
27929,2.0,1.0,,,female,yes,
27958,1.0,1.0,,,male,yes,
27963,2.0,1.0,,,female,yes,
28068,2.0,1.0,,,female,yes,
28121,2.0,1.0,,,female,yes,
28347,2.0,1.0,,,female,yes,
28372,1.0,1.0,,,male,yes,
28439,1.0,2.0,,,male,no,
29886,2.0,1.0,,,female,yes,
29907,2.0,1.0,,,female,yes,
29911,1.0,1.0,,,male,yes,
29968,2.0,1.0,,,female,yes,
30260,2.0,1.0,,,female,yes,
30469,2.0,1.0,,,female,yes,
31953,2.0,2.0,,,female,no,
32245,1.0,1.0,,,male,yes,
32443,1.0,1.0,,,male,yes,
34208,2.0,1.0,,,female,yes,
34228,2.0,1.0,,,female,yes,
34240,2.0,2.0,,,female,no,
34321,1.0,1.0,,,male,yes,
34376,1.0,1.0,,,male,yes,
34396,2.0,1.0,,,female,yes,
34532,2.0,1.0,,,female,yes,
34589,2.0,1.0,,,female,yes,
34649,2.0,1.0,,,female,yes,
35122,1.0,2.0,,,male,no,
35566,2.0,1.0,,,female,yes,
36272,1.0,1.0,,,male,yes,
37082,2.0,1.0,,,female,yes,
38007,1.0,1.0,,,male,yes,
38176,2.0,1.0,,,female,yes,
39480,2.0,1.0,,,female,yes,
39567,2.0,2.0,,,female,no,
39826,1.0,1.0,,,male,yes,
39967,1.0,1.0,,,male,yes,
40197,1.0,1.0,,,male,yes,
40424,1.0,1.0,,,male,yes,
41503,1.0,1.0,,,male,yes,
41710,2.0,1.0,,,female,yes,
41920,2.0,1.0,,,female,yes,
42400,2.0,1.0,,,female,yes,
42890,1.0,1.0,,,male,yes,
43303,2.0,1.0,,,female,yes,
44667,1.0,1.0,,,male,yes,
44828,1.0,1.0,88.0,,male,yes,
44864,1.0,1.0,8.0,2.0,male,yes,nonmedical
45385,2.0,1.0,88.0,,female,yes,
46308,2.0,1.0,88.0,,female,yes,
47095,1.0,1.0,88.0,,male,yes,
47142,2.0,2.0,88.0,,female,no,
47481,2.0,2.0,88.0,,female,no,
47482,1.0,1.0,88.0,,male,yes,
48301,1.0,1.0,88.0,,male,yes,
48326,1.0,1.0,88.0,,male,yes,
48892,1.0,1.0,,,male,yes,
49398,1.0,1.0,88.0,,male,yes,
49654,2.0,1.0,88.0,,female,yes,
49726,1.0,1.0,,,male,yes,
49853,2.0,1.0,88.0,,female,yes,
49893,1.0,1.0,30.0,3.0,male,yes,both
50301,1.0,1.0,1.0,2.0,male,yes,nonmedical
50945,1.0,1.0,88.0,,male,yes,
51119,1.0,1.0,30.0,3.0,male,yes,both
51494,1.0,2.0,,,male,no,
51540,2.0,1.0,,,female,yes,
51593,2.0,1.0,,,female,yes,
51619,2.0,1.0,,,female,yes,
52882,1.0,1.0,,,male,yes,
53244,1.0,1.0,,,male,yes,
53363,2.0,1.0,,,female,yes,
53634,2.0,1.0,88.0,,female,yes,
53932,2.0,1.0,,,female,yes,
54110,1.0,1.0,88.0,,male,yes,
54406,1.0,1.0,99.0,,male,yes,
55270,1.0,1.0,,,male,yes,
56820,1.0,1.0,,,male,yes,
56972,1.0,1.0,,,male,yes,
58239,1.0,1.0,,,male,yes,
58311,1.0,1.0,,,male,yes,
58335,2.0,1.0,,,female,yes,
58429,1.0,1.0,,,male,yes,
58450,2.0,1.0,,,female,yes,
61342,2.0,1.0,,,female,yes,
61363,2.0,1.0,,,female,yes,
62124,1.0,1.0,,,male,yes,
62267,2.0,1.0,,,female,yes,
62298,1.0,1.0,,,male,yes,
62337,2.0,1.0,,,female,yes,
62566,1.0,1.0,,,male,yes,
63484,2.0,1.0,,,female,yes,
63804,1.0,2.0,,,male,no,
64095,1.0,1.0,,,male,yes,
64138,1.0,1.0,,,male,yes,
64174,2.0,1.0,,,female,yes,
64456,1.0,1.0,,,male,yes,
64503,2.0,1.0,,,female,yes,
65080,2.0,2.0,,,female,no,
65173,1.0,1.0,,,male,yes,
65275,2.0,1.0,,,female,yes,
65449,2.0,1.0,,,female,yes,
65638,2.0,1.0,,,female,yes,
65771,2.0,1.0,,,female,yes,
66345,2.0,1.0,,,female,yes,
66352,2.0,1.0,,,female,yes,
66676,2.0,1.0,,,female,yes,
66678,2.0,2.0,,,female,no,
68651,2.0,1.0,,,female,yes,
69328,1.0,1.0,88.0,,male,yes,
69428,2.0,1.0,88.0,,female,yes,
69468,2.0,1.0,88.0,,female,yes,
69632,2.0,1.0,88.0,,female,yes,
69656,1.0,1.0,20.0,2.0,male,yes,nonmedical
72112,1.0,1.0,88.0,,male,yes,
74123,1.0,2.0,88.0,,male,no,
74420,1.0,1.0,,,male,yes,
76039,2.0,1.0,2.0,3.0,female,yes,both
76697,1.0,1.0,88.0,,male,yes,
77135,1.0,1.0,88.0,,male,yes,
77166,1.0,1.0,2.0,3.0,male,yes,both
77592,2.0,1.0,88.0,,female,yes,
79282,1.0,2.0,88.0,,male,no,
79778,1.0,1.0,2.0,2.0,male,yes,nonmedical
80185,2.0,1.0,88.0,,female,yes,
80968,2.0,1.0,88.0,,female,yes,
81952,1.0,1.0,,,male,yes,
81969,1.0,1.0,,,male,yes,
82003,2.0,1.0,77.0,,female,yes,
82235,2.0,2.0,,,female,no,
82247,1.0,1.0,88.0,,male,yes,
82267,1.0,1.0,20.0,1.0,male,yes,medical
82381,2.0,1.0,88.0,,female,yes,
82499,2.0,2.0,88.0,,female,no,
82589,2.0,1.0,88.0,,female,yes,
83311,2.0,1.0,5.0,2.0,female,yes,nonmedical
83426,1.0,1.0,88.0,,male,yes,
83520,2.0,1.0,88.0,,female,yes,
84099,2.0,1.0,,,female,yes,
84116,1.0,1.0,,,male,yes,
84125,2.0,1.0,,,female,yes,
84129,1.0,1.0,,,male,yes,
84277,1.0,1.0,,,male,yes,
84304,1.0,1.0,,,male,yes,
84309,1.0,2.0,,,male,no,
84464,2.0,1.0,,,female,yes,
86927,1.0,1.0,,,male,yes,
86950,2.0,1.0,,,female,yes,
88139,1.0,2.0,88.0,,male,no,
88256,1.0,1.0,20.0,3.0,male,yes,both
88402,1.0,1.0,88.0,,male,yes,
88504,1.0,1.0,88.0,,male,yes,
88616,1.0,1.0,88.0,,male,yes,
88755,1.0,2.0,88.0,,male,no,
88904,1.0,1.0,88.0,,male,yes,
89093,1.0,1.0,88.0,,male,yes,
90098,1.0,1.0,88.0,,male,yes,
90351,2.0,1.0,88.0,,female,yes,
91174,1.0,1.0,88.0,,male,yes,
91367,1.0,1.0,,,male,yes,
91475,2.0,1.0,88.0,,female,yes,
91728,2.0,1.0,20.0,2.0,female,yes,nonmedical
91810,1.0,1.0,88.0,,male,yes,
92083,2.0,1.0,88.0,,female,yes,
92127,2.0,2.0,88.0,,female,no,
92567,1.0,1.0,88.0,,male,yes,
92932,2.0,1.0,10.0,2.0,female,yes,nonmedical
92946,2.0,1.0,88.0,,female,yes,
93247,1.0,1.0,88.0,,male,yes,
93258,1.0,1.0,88.0,,male,yes,
93441,2.0,1.0,88.0,,female,yes,
93526,1.0,1.0,88.0,,male,yes,
93602,1.0,1.0,88.0,,male,yes,
93808,2.0,1.0,88.0,,female,yes,
93893,1.0,1.0,88.0,,male,yes,
93904,2.0,1.0,88.0,,female,yes,
94251,1.0,1.0,,,male,yes,
94276,1.0,2.0,,,male,no,
94279,1.0,1.0,,,male,yes,
94302,1.0,1.0,,,male,yes,
96418,1.0,1.0,,,male,yes,
96422,2.0,1.0,,,female,yes,
96550,1.0,1.0,,,male,yes,
96575,1.0,1.0,,,male,yes,
96760,2.0,1.0,,,female,yes,
96976,2.0,1.0,,,female,yes,
96985,1.0,1.0,,,male,yes,
97146,1.0,1.0,,,male,yes,
97183,1.0,1.0,,,male,yes,
97385,1.0,1.0,,,male,yes,
97716,1.0,1.0,,,male,yes,
97974,2.0,1.0,,,female,yes,
98132,1.0,1.0,,,male,yes,
98183,2.0,1.0,,,female,yes,
99273,2.0,1.0,,,female,yes,
99302,1.0,1.0,,,male,yes,
99789,1.0,1.0,,,male,yes,
99815,2.0,1.0,,,female,yes,
99946,2.0,1.0,,,female,yes,
100576,1.0,1.0,,,male,yes,
101158,1.0,1.0,,,male,yes,
101218,2.0,1.0,,,female,yes,
101526,1.0,1.0,,,male,yes,
101570,2.0,1.0,,,female,yes,
101595,2.0,2.0,,,female,no,
101737,1.0,1.0,,,male,yes,
102097,2.0,1.0,,,female,yes,
102264,2.0,1.0,,,female,yes,
102284,1.0,1.0,,,male,yes,
102311,1.0,1.0,,,male,yes,
102323,1.0,1.0,,,male,yes,
102439,1.0,1.0,,,male,yes,
102466,2.0,1.0,,,female,yes,
102547,1.0,1.0,,,male,yes,
102765,1.0,2.0,,,male,no,
102923,1.0,1.0,,,male,yes,
102993,1.0,1.0,,,male,yes,
103003,1.0,1.0,,,male,yes,
103059,2.0,1.0,,,female,yes,
103079,1.0,1.0,,,male,yes,
103091,1.0,1.0,,,male,yes,
103137,1.0,1.0,,,male,yes,
103296,1.0,1.0,,,male,yes,
103367,1.0,1.0,,,male,yes,
103414,2.0,1.0,,,female,yes,
103480,1.0,1.0,,,male,yes,
103559,2.0,2.0,,,female,no,
103562,2.0,1.0,,,female,yes,
103758,1.0,1.0,,,male,yes,
103785,1.0,1.0,,,male,yes,
103817,2.0,2.0,,,female,no,
103855,1.0,1.0,,,male,yes,
103857,1.0,1.0,,,male,yes,
103863,2.0,1.0,,,female,yes,
103870,1.0,1.0,,,male,yes,
103919,1.0,1.0,,,male,yes,
104001,1.0,1.0,,,male,yes,
104009,1.0,1.0,,,male,yes,
104019,1.0,1.0,,,male,yes,
108203,2.0,1.0,,,female,yes,
108239,2.0,1.0,,,female,yes,
108321,2.0,1.0,,,female,yes,
108361,2.0,1.0,,,female,yes,
109747,2.0,1.0,,,female,yes,
110002,1.0,1.0,,,male,yes,
110165,2.0,1.0,,,female,yes,
110253,2.0,1.0,,,female,yes,
110379,1.0,1.0,,,male,yes,
111301,2.0,1.0,,,female,yes,
111435,2.0,1.0,,,female,yes,
111452,2.0,1.0,,,female,yes,
111563,2.0,1.0,,,female,yes,
113178,1.0,1.0,,,male,yes,
113362,1.0,1.0,,,male,yes,
113525,1.0,1.0,,,male,yes,
114429,2.0,1.0,,,female,yes,
114917,2.0,1.0,,,female,yes,
115095,2.0,1.0,,,female,yes,
115379,1.0,1.0,,,male,yes,
115461,2.0,1.0,,,female,yes,
115710,2.0,1.0,,,female,yes,
116436,2.0,1.0,,,female,yes,
116899,1.0,1.0,,,male,yes,
117053,1.0,2.0,,,male,no,
117256,2.0,1.0,,,female,yes,
117257,1.0,1.0,,,male,yes,
117627,1.0,1.0,,,male,yes,
117796,1.0,1.0,,,male,yes,
118194,1.0,1.0,,,male,yes,
119257,2.0,1.0,,,female,yes,
119636,1.0,1.0,,,male,yes,
119880,2.0,1.0,,,female,yes,
120134,1.0,1.0,,,male,yes,
120179,2.0,2.0,,,female,no,
120452,1.0,1.0,,,male,yes,
120934,1.0,1.0,,,male,yes,
120973,1.0,1.0,,,male,yes,
121003,1.0,2.0,,,male,no,
121156,2.0,1.0,,,female,yes,
123370,1.0,1.0,88.0,,male,yes,
123479,1.0,1.0,88.0,,male,yes,
123518,2.0,1.0,88.0,,female,yes,
124248,2.0,1.0,88.0,,female,yes,
124347,1.0,2.0,88.0,,male,no,
124353,1.0,1.0,88.0,,male,yes,
124403,2.0,1.0,88.0,,female,yes,
124444,2.0,1.0,88.0,,female,yes,
124561,2.0,1.0,88.0,,female,yes,
124577,2.0,1.0,88.0,,female,yes,
124654,1.0,1.0,88.0,,male,yes,
124702,2.0,1.0,,,female,yes,
124709,1.0,1.0,88.0,,male,yes,
124773,1.0,1.0,88.0,,male,yes,
124829,2.0,1.0,88.0,,female,yes,
124942,2.0,1.0,,,female,yes,
125065,1.0,1.0,88.0,,male,yes,
125094,2.0,1.0,88.0,,female,yes,
125097,1.0,2.0,88.0,,male,no,
125117,2.0,1.0,1.0,2.0,female,yes,nonmedical
125122,2.0,1.0,88.0,,female,yes,
125332,1.0,2.0,88.0,,male,no,
125476,2.0,2.0,88.0,,female,no,
125527,1.0,1.0,88.0,,male,yes,
125562,1.0,1.0,88.0,,male,yes,
125623,1.0,2.0,88.0,,male,no,
125654,1.0,1.0,88.0,,male,yes,
125678,1.0,1.0,88.0,,male,yes,
125725,2.0,2.0,5.0,2.0,female,no,nonmedical
125762,2.0,1.0,88.0,,female,yes,
125775,2.0,2.0,88.0,,female,no,
126088,1.0,1.0,88.0,,male,yes,
126174,1.0,1.0,88.0,,male,yes,
126190,1.0,2.0,30.0,9.0,male,no,
126209,1.0,1.0,88.0,,male,yes,
126278,1.0,1.0,88.0,,male,yes,
126890,2.0,1.0,,,female,yes,
126901,1.0,1.0,,,male,yes,
126919,1.0,1.0,,,male,yes,
126960,2.0,2.0,,,female,no,
126969,1.0,1.0,,,male,yes,
128138,2.0,1.0,,,female,yes,
130401,1.0,1.0,,,male,yes,
130416,2.0,1.0,,,female,yes,
130440,2.0,1.0,,,female,yes,
131196,1.0,1.0,,,male,yes,
131275,2.0,1.0,,,female,yes,
131671,1.0,1.0,,,male,yes,
132008,2.0,1.0,,,female,yes,
132104,1.0,1.0,,,male,yes,
136925,1.0,1.0,,,male,yes,
137042,1.0,1.0,88.0,,male,yes,
137280,1.0,2.0,88.0,,male,no,
137541,2.0,1.0,88.0,,female,yes,
137994,2.0,2.0,88.0,,female,no,
138061,2.0,2.0,88.0,,female,no,
138159,2.0,1.0,10.0,3.0,female,yes,both
138765,1.0,1.0,25.0,3.0,male,yes,both
139791,1.0,1.0,88.0,,male,yes,
140626,1.0,1.0,88.0,,male,yes,
140980,2.0,1.0,1.0,2.0,female,yes,nonmedical
141105,2.0,1.0,1.0,2.0,female,yes,nonmedical
141122,2.0,2.0,30.0,2.0,female,no,nonmedical
141376,1.0,7.0,88.0,,male,,
141834,1.0,1.0,1.0,2.0,male,yes,nonmedical
142399,1.0,1.0,88.0,,male,yes,
142438,1.0,2.0,88.0,,male,no,
142631,1.0,1.0,88.0,,male,yes,
142714,1.0,1.0,30.0,2.0,male,yes,nonmedical
142786,2.0,1.0,88.0,,female,yes,
142846,1.0,1.0,2.0,1.0,male,yes,medical
143296,1.0,1.0,30.0,1.0,male,yes,medical
143756,2.0,1.0,88.0,,female,yes,
148930,1.0,1.0,,,male,yes,
148943,1.0,2.0,,,male,no,
148954,2.0,1.0,,,female,yes,
148955,1.0,1.0,,,male,yes,
148969,1.0,1.0,,,male,yes,
149093,1.0,1.0,,,male,yes,
149192,2.0,1.0,88.0,,female,yes,
149364,2.0,1.0,88.0,,female,yes,
149691,2.0,1.0,88.0,,female,yes,
150301,1.0,1.0,88.0,,male,yes,
150705,1.0,1.0,88.0,,male,yes,
151637,1.0,1.0,88.0,,male,yes,
151744,1.0,1.0,88.0,,male,yes,
152465,1.0,1.0,88.0,,male,yes,
152557,2.0,1.0,88.0,,female,yes,
154309,2.0,1.0,,,female,yes,
154966,1.0,1.0,88.0,,male,yes,
155016,2.0,1.0,88.0,,female,yes,
155611,2.0,1.0,88.0,,female,yes,
155671,1.0,1.0,88.0,,male,yes,
155844,1.0,1.0,3.0,3.0,male,yes,both
156247,2.0,2.0,30.0,3.0,female,no,both
156313,1.0,1.0,88.0,,male,yes,
156383,2.0,1.0,88.0,,female,yes,
156993,2.0,1.0,88.0,,female,yes,
158313,2.0,1.0,88.0,,female,yes,
159219,1.0,1.0,88.0,,male,yes,
159226,2.0,1.0,10.0,2.0,female,yes,nonmedical
159354,2.0,1.0,88.0,,female,yes,
160920,1.0,1.0,,,male,yes,
160983,2.0,1.0,,,female,yes,
161028,1.0,1.0,,,male,yes,
161098,1.0,1.0,,,male,yes,
161232,2.0,1.0,,,female,yes,
161259,2.0,2.0,,,female,no,
161271,2.0,1.0,,,female,yes,
161273,2.0,1.0,,,female,yes,
161356,1.0,1.0,,,male,yes,
161445,1.0,1.0,,,male,yes,
161668,1.0,1.0,,,male,yes,
161756,1.0,1.0,,,male,yes,
161948,1.0,1.0,,,male,yes,
162110,1.0,2.0,,,male,no,
162153,2.0,1.0,,,female,yes,
162254,2.0,2.0,,,female,no,
162286,1.0,1.0,,,male,yes,
162676,1.0,1.0,,,male,yes,
162796,2.0,1.0,,,female,yes,
163057,1.0,1.0,,,male,yes,
163062,2.0,2.0,,,female,no,
163161,2.0,1.0,,,female,yes,
163673,2.0,1.0,,,female,yes,
163932,2.0,1.0,,,female,yes,
164042,2.0,1.0,,,female,yes,
164050,1.0,1.0,,,male,yes,
164080,2.0,1.0,,,female,yes,
164100,2.0,1.0,,,female,yes,
164164,2.0,1.0,,,female,yes,
164182,1.0,1.0,,,male,yes,
164258,2.0,2.0,,,female,no,
164279,1.0,1.0,,,male,yes,
164332,2.0,1.0,,,female,yes,
164343,2.0,2.0,,,female,no,
164355,2.0,1.0,,,female,yes,
164810,2.0,1.0,,,female,yes,
164896,1.0,1.0,,,male,yes,
164935,2.0,2.0,,,female,no,
165139,2.0,2.0,,,female,no,
165492,2.0,1.0,,,female,yes,
165729,1.0,1.0,,,male,yes,
166093,2.0,1.0,,,female,yes,
166174,1.0,1.0,,,male,yes,
166642,2.0,1.0,,,female,yes,
166643,1.0,1.0,,,male,yes,
166728,2.0,1.0,,,female,yes,
166898,2.0,1.0,,,female,yes,
166914,1.0,1.0,,,male,yes,
166988,2.0,2.0,,,female,no,
167017,1.0,1.0,,,male,yes,
167039,1.0,1.0,,,male,yes,
167220,2.0,2.0,,,female,no,
169866,2.0,1.0,,,female,yes,
169874,1.0,1.0,,,male,yes,
169910,2.0,1.0,,,female,yes,
169961,1.0,2.0,,,male,no,
169990,1.0,1.0,,,male,yes,
170017,2.0,1.0,,,female,yes,
170046,1.0,1.0,,,male,yes,
170054,2.0,1.0,,,female,yes,
170136,1.0,1.0,,,male,yes,
170691,2.0,1.0,,,female,yes,
170800,1.0,2.0,,,male,no,
170839,2.0,1.0,,,female,yes,
170856,2.0,2.0,,,female,no,
171257,1.0,1.0,,,male,yes,
171454,1.0,1.0,,,male,yes,
171668,1.0,1.0,,,male,yes,
171783,1.0,1.0,,,male,yes,
172210,1.0,1.0,,,male,yes,
172398,1.0,1.0,,,male,yes,
172546,2.0,1.0,,,female,yes,
172649,2.0,1.0,,,female,yes,
173648,2.0,1.0,,,female,yes,
173872,1.0,1.0,,,male,yes,
174109,2.0,1.0,,,female,yes,
174271,1.0,1.0,,,male,yes,
175222,1.0,1.0,,,male,yes,
175335,1.0,1.0,,,male,yes,
175579,2.0,2.0,,,female,no,
176010,2.0,2.0,,,female,no,
176048,2.0,1.0,,,female,yes,
176090,1.0,1.0,,,male,yes,
176105,2.0,1.0,,,female,yes,
176140,2.0,1.0,,,female,yes,
176143,1.0,2.0,,,male,no,
176336,1.0,1.0,,,male,yes,
176451,1.0,1.0,,,male,yes,
176520,1.0,1.0,,,male,yes,
180220,1.0,1.0,88.0,,male,yes,
180480,2.0,2.0,88.0,,female,no,
180635,2.0,1.0,7.0,2.0,female,yes,nonmedical
182127,2.0,1.0,88.0,,female,yes,
182138,1.0,1.0,88.0,,male,yes,
182272,1.0,1.0,88.0,,male,yes,
182339,1.0,1.0,,,male,yes,
182458,1.0,1.0,1.0,3.0,male,yes,both
182527,2.0,2.0,88.0,,female,no,
182581,2.0,1.0,88.0,,female,yes,
182916,2.0,2.0,88.0,,female,no,
183369,2.0,2.0,,,female,no,
184398,1.0,1.0,3.0,3.0,male,yes,both
184726,2.0,1.0,88.0,,female,yes,
184759,2.0,1.0,88.0,,female,yes,
185541,1.0,1.0,88.0,,male,yes,
187116,1.0,2.0,,,male,no,
187880,1.0,1.0,88.0,,male,yes,
188368,2.0,1.0,88.0,,female,yes,
188406,1.0,1.0,,,male,yes,
188414,1.0,1.0,88.0,,male,yes,
188699,2.0,1.0,88.0,,female,yes,
188844,2.0,1.0,88.0,,female,yes,
189007,2.0,1.0,30.0,3.0,female,yes,both
189315,2.0,1.0,77.0,,female,yes,
189778,1.0,1.0,2.0,3.0,male,yes,both
189822,2.0,2.0,88.0,,female,no,
190617,1.0,1.0,88.0,,male,yes,
190794,2.0,1.0,88.0,,female,yes,
190800,1.0,1.0,,,male,yes,
191998,2.0,1.0,88.0,,female,yes,
192340,1.0,1.0,,,male,yes,
192422,2.0,1.0,,,female,yes,
192442,1.0,1.0,,,male,yes,
193842,1.0,1.0,,,male,yes,
193844,1.0,1.0,,,male,yes,
193846,2.0,1.0,,,female,yes,
193947,1.0,1.0,,,male,yes,
193954,1.0,2.0,,,male,no,
194736,1.0,1.0,,,male,yes,
195189,1.0,1.0,,,male,yes,
195214,1.0,1.0,,,male,yes,
195516,2.0,1.0,,,female,yes,
195525,1.0,1.0,,,male,yes,
195644,2.0,1.0,,,female,yes,
196059,2.0,2.0,,,female,no,
196072,2.0,1.0,,,female,yes,
196084,2.0,1.0,,,female,yes,
196100,1.0,1.0,,,male,yes,
196943,2.0,1.0,,,female,yes,
197006,1.0,1.0,,,male,yes,
197012,1.0,1.0,,,male,yes,
200435,2.0,1.0,,,female,yes,
200463,2.0,1.0,,,female,yes,
200464,1.0,1.0,,,male,yes,
200466,2.0,1.0,,,female,yes,
200670,1.0,1.0,,,male,yes,
200688,1.0,1.0,,,male,yes,
201136,2.0,2.0,,,female,no,
201150,1.0,1.0,,,male,yes,
201166,1.0,1.0,,,male,yes,
201281,1.0,1.0,,,male,yes,
201492,2.0,1.0,,,female,yes,
201748,2.0,2.0,,,female,no,
201755,1.0,1.0,,,male,yes,
201778,1.0,1.0,,,male,yes,
202183,1.0,1.0,,,male,yes,
202839,2.0,1.0,,,female,yes,
202896,2.0,1.0,,,female,yes,
202969,1.0,1.0,,,male,yes,
203017,2.0,1.0,,,female,yes,
203103,2.0,1.0,,,female,yes,
203221,1.0,1.0,,,male,yes,
203313,1.0,1.0,,,male,yes,
204456,1.0,1.0,,,male,yes,
205166,1.0,1.0,,,male,yes,
205784,1.0,1.0,,,male,yes,
206117,1.0,1.0,,,male,yes,
206498,2.0,1.0,,,female,yes,
206895,1.0,1.0,,,male,yes,
206921,1.0,2.0,,,male,no,
207285,1.0,2.0,,,male,no,
207383,1.0,2.0,,,male,no,
207505,2.0,2.0,,,female,no,
207602,2.0,1.0,,,female,yes,
208697,1.0,1.0,,,male,yes,
209165,2.0,1.0,,,female,yes,
209173,2.0,1.0,,,female,yes,
209252,2.0,1.0,,,female,yes,
209275,1.0,1.0,,,male,yes,
211235,1.0,1.0,,,male,yes,
211294,1.0,1.0,88.0,,male,yes,
211320,1.0,1.0,88.0,,male,yes,
211473,1.0,1.0,,,male,yes,
